Order Date,Ship Date,Ship Mode,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,SalesPerQuantity,SalesAfterDiscount
2016-12-09,12/13/2016,Standard Class,Corporate,United States,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7.0,0.0,5.0596,2.7800000000000002,0.0
2016-12-09,12/13/2016,Standard Class,Corporate,United States,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7.0,0.0,15.6884,8.620000000000001,0.0
2017-07-16,7/18/2017,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2.0,0.3,-1.0196,35.686,21.4116
2015-09-25,9/30/2015,Standard Class,Consumer,United States,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3.0,0.0,240.2649,348.21000000000004,0.0
2016-01-16,1/20/2016,Second Class,Consumer,United States,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2.0,0.2,4.2224,5.824,2.3296
2016-01-16,1/20/2016,Second Class,Consumer,United States,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Imation�8GB Mini TravelDrive USB 2.0�Flash Drive,90.57,3.0,0.0,11.7741,30.189999999999998,0.0
2015-09-17,9/21/2015,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7.0,0.5,-1665.0522,440.48999999999995,1541.715
2015-09-17,9/21/2015,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2.0,0.7,-7.0532,4.809,6.7326
2015-09-17,9/21/2015,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3.0,0.2,15.525,41.4,24.840000000000003
2015-09-17,9/21/2015,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2.0,0.2,1.1016,1.632,0.6528
2015-09-17,9/21/2015,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6.0,0.2,9.7092,14.384,17.2608
2015-09-17,9/21/2015,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6.0,0.7,-5.715,1.143,4.800599999999999
2015-09-17,9/21/2015,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2.0,0.2,3.546,7.88,3.152
2017-10-19,10/23/2017,Second Class,Home Office,United States,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3.0,0.2,9.9468,9.824,5.894400000000001
2016-12-08,12/10/2016,First Class,Corporate,United States,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7.0,0.2,123.4737,156.792,219.50880000000004
2016-12-08,12/10/2016,First Class,Corporate,United States,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5.0,0.6,-147.963,38.184,114.55199999999999
2015-12-27,12/31/2015,Standard Class,Home Office,United States,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9.0,0.2,35.415,12.592,22.6656
2015-12-27,12/31/2015,Standard Class,Home Office,United States,Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3.0,0.32,-46.9764,177.4664,170.367744
2015-12-27,12/31/2015,Standard Class,Home Office,United States,Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3.0,0.3,-15.147,70.68599999999999,63.617399999999996
2015-12-27,12/31/2015,Standard Class,Home Office,United States,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4.0,0.2,41.7564,92.792,74.23360000000001
2017-09-10,9/15/2017,Standard Class,Corporate,United States,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4.0,0.2,16.5564,36.792,29.433600000000002
2016-07-17,7/22/2016,Standard Class,Corporate,United States,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2.0,0.0,3.894,38.94,0.0
2017-09-19,9/23/2017,Standard Class,Corporate,United States,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2.0,0.2,9.5616,47.808,19.1232
2016-03-11,3/13/2016,First Class,Corporate,United States,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2.0,0.0,19.7714,22.99,0.0
2016-03-11,3/13/2016,First Class,Corporate,United States,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2.0,0.0,8.2062,8.73,0.0
2014-10-20,10/25/2014,Second Class,Consumer,United States,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4.0,0.0,8.4784,52.99,0.0
2016-06-20,6/25/2016,Standard Class,Consumer,United States,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,45.0,3.0,0.0,4.95,15.0,0.0
2016-06-20,6/25/2016,Standard Class,Consumer,United States,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2.0,0.0,6.104,10.9,0.0
2015-04-18,4/22/2015,Standard Class,Consumer,United States,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6.0,0.0,17.9634,6.37,0.0
2015-04-18,4/22/2015,Standard Class,Consumer,United States,New Albany,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6.0,0.0,35.3346,12.530000000000001,0.0
2015-04-18,4/22/2015,Standard Class,Consumer,United States,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2.0,0.0,2.9568,3.08,0.0
2015-04-18,4/22/2015,Standard Class,Consumer,United States,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1.0,0.0,17.0981,89.99,0.0
2016-12-11,12/17/2016,Standard Class,Corporate,United States,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7.0,0.0,6.2566,2.18,0.0
2016-12-11,12/17/2016,Standard Class,Corporate,United States,New York City,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5.0,0.0,298.6855,205.99,0.0
2016-06-17,6/18/2016,First Class,Consumer,United States,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6.0,0.0,52.14,34.76,0.0
2016-06-17,6/18/2016,First Class,Consumer,United States,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5.0,0.0,15.552,6.4799999999999995,0.0
2016-06-17,6/18/2016,First Class,Consumer,United States,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5.0,0.1,7.098,63.882000000000005,31.941000000000003
2016-06-17,6/18/2016,First Class,Consumer,United States,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2.0,0.0,6.9888,7.28,0.0
2016-06-17,6/18/2016,First Class,Consumer,United States,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,30.0,2.0,0.0,3.3,15.0,0.0
2016-06-17,6/18/2016,First Class,Consumer,United States,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4.0,0.2,16.362,12.12,9.696
2016-06-17,6/18/2016,First Class,Consumer,United States,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1.0,0.0,0.84,1.68,0.0
2015-11-24,11/30/2015,Standard Class,Consumer,United States,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2.0,0.0,6.1512,6.99,0.0
2015-11-24,11/30/2015,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6.0,0.2,9.3612,4.304,5.1648000000000005
2015-11-24,11/30/2015,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3.0,0.0,68.9631,48.91,0.0
2015-11-24,11/30/2015,Standard Class,Consumer,United States,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4.0,0.0,22.3328,19.94,0.0
2015-04-30,5/5/2015,Standard Class,Home Office,United States,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5.0,0.3,-15.2225,42.623000000000005,63.9345
2014-12-05,12/10/2014,Standard Class,Corporate,United States,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8.0,0.2,111.3024,139.128,222.60479999999998
2014-12-05,12/10/2014,Standard Class,Corporate,United States,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4.0,0.2,62.988,41.992,33.5936
2016-06-04,6/6/2016,First Class,Consumer,United States,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2.0,0.0,35.6636,37.94,0.0
2016-09-18,9/23/2016,Standard Class,Consumer,United States,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1.0,0.2,1.731,4.616,0.9232
2017-09-14,9/17/2017,Second Class,Consumer,United States,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3.0,0.0,8.763,6.3500000000000005,0.0
2015-04-26,5/2/2015,Standard Class,Consumer,United States,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8.0,0.2,-114.3912,103.992,166.3872
2015-04-26,5/2/2015,Standard Class,Consumer,United States,Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2.0,0.2,1.213,48.52,19.408
2015-04-26,5/2/2015,Standard Class,Consumer,United States,Memphis,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1.0,0.2,-18.196,72.784,14.556800000000003
2017-12-09,12/11/2017,First Class,Corporate,United States,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3.0,0.8,-1.9344,0.416,0.9984000000000001
2017-12-09,12/11/2017,First Class,Corporate,United States,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3.0,0.6,-5.8248,3.236,5.8248
2017-12-09,12/11/2017,First Class,Corporate,United States,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3.0,0.2,2.724,9.08,5.448
2014-11-26,12/1/2014,Second Class,Consumer,United States,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5.0,0.6,-14.475,3.8600000000000003,11.58
2016-06-12,6/15/2016,First Class,Corporate,United States,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1.0,0.0,56.2032,208.16,0.0
2016-06-12,6/15/2016,First Class,Corporate,United States,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3.0,0.0,8.0352,5.579999999999999,0.0
2014-10-12,10/16/2014,Standard Class,Consumer,United States,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5.0,0.0,4.172,2.98,0.0
2014-10-12,10/16/2014,Standard Class,Consumer,United States,San Francisco,California,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1.0,0.0,6.2031,21.39,0.0
2015-09-03,9/8/2015,Standard Class,Corporate,United States,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7.0,0.2,62.8075,28.712,40.1968
2017-11-13,11/16/2017,First Class,Home Office,United States,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3.0,0.2,-48.9549,76.792,46.0752
2017-05-28,5/30/2017,Second Class,Consumer,United States,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2.0,0.0,33.2156,150.98,0.0
2017-10-26,11/2/2017,Standard Class,Consumer,United States,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,Logitech�LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1.0,0.0,6.7966,19.99,0.0
2017-10-26,11/2/2017,Standard Class,Consumer,United States,Rochester,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2.0,0.0,2.9568,3.08,0.0
2016-04-05,4/10/2016,Second Class,Home Office,United States,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7.0,0.2,13.8572,22.624,31.6736
2016-09-17,9/22/2016,Standard Class,Corporate,United States,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3.0,0.0,6.633,6.7,0.0
2016-09-17,9/22/2016,Standard Class,Corporate,United States,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2.0,0.2,8.2782,36.792,14.716800000000001
2016-09-17,9/22/2016,Standard Class,Corporate,United States,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1.0,0.0,3.1104,6.48,0.0
2015-01-31,2/5/2015,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2.0,0.0,6.2208,6.48,0.0
2015-01-31,2/5/2015,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3.0,0.0,16.5354,17.78,0.0
2015-01-31,2/5/2015,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2.0,0.0,16.1504,16.48,0.0
2017-11-06,11/12/2017,Standard Class,Home Office,United States,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1.0,0.7,-3.788,5.682,3.9774
2017-11-09,11/11/2017,Second Class,Home Office,United States,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7.0,0.0,40.5426,13.790000000000001,0.0
2017-06-17,6/20/2017,First Class,Consumer,United States,San Francisco,California,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3.0,0.2,17.9592,17.104,10.2624
2016-09-06,9/11/2016,Standard Class,Corporate,United States,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6.0,0.0,22.5852,12.979999999999999,0.0
2016-08-29,9/2/2016,Standard Class,Home Office,United States,Chicago,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7.0,0.2,22.6184,9.232,12.9248
2016-08-29,9/2/2016,Standard Class,Home Office,United States,Chicago,Illinois,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3.0,0.2,-10.7973,31.992,19.1952
2016-08-29,9/2/2016,Standard Class,Home Office,United States,Chicago,Illinois,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3.0,0.8,-3.0396,0.596,1.4304000000000001
2016-12-01,12/4/2016,Second Class,Consumer,United States,Rochester,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4.0,0.0,11.7208,5.98,0.0
2015-11-13,11/17/2015,Standard Class,Consumer,United States,Aurora,Colorado,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6.0,0.2,-26.8758,39.815999999999995,47.7792
2015-11-13,11/17/2015,Standard Class,Consumer,United States,Aurora,Colorado,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3.0,0.2,-3.8385,34.12,20.472
2015-11-13,11/17/2015,Standard Class,Consumer,United States,Aurora,Colorado,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3.0,0.7,-25.8174,12.293999999999999,25.817399999999996
2017-11-23,11/28/2017,Standard Class,Consumer,United States,Charlotte,North Carolina,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8.0,0.2,17.6016,9.264,14.8224
2017-11-23,11/28/2017,Standard Class,Consumer,United States,Charlotte,North Carolina,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1.0,0.2,2.0994,27.992,5.598400000000001
2017-11-23,11/28/2017,Standard Class,Consumer,United States,Charlotte,North Carolina,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304,1.0,0.2,1.0738,3.304,0.6608
2015-10-15,10/20/2015,Standard Class,Home Office,United States,Orland Park,Illinois,Central,TEC-AC-10000844,Technology,Accessories,Logitech�Gaming G510s - Keyboard,339.96,5.0,0.2,67.992,67.99199999999999,67.992
2017-12-25,12/30/2017,Standard Class,Corporate,United States,New York City,New York,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2.0,0.0,10.9096,20.98,0.0
2016-11-03,11/10/2016,Standard Class,Consumer,United States,Urbandale,Iowa,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2.0,0.0,22.788,37.98,0.0
2016-11-03,11/10/2016,Standard Class,Consumer,United States,Urbandale,Iowa,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6.0,0.0,13.3476,4.54,0.0
2014-08-25,8/27/2014,Second Class,Consumer,United States,Columbus,Ohio,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14.0,0.2,14.5348,2.864,8.0192
2014-08-25,8/27/2014,Second Class,Consumer,United States,Columbus,Ohio,East,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2.0,0.2,1.652,2.36,0.944
2014-08-25,8/27/2014,Second Class,Consumer,United States,Columbus,Ohio,East,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976,3.0,0.2,7.4925,7.992,4.7952
2014-08-25,8/27/2014,Second Class,Consumer,United States,Columbus,Ohio,East,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6.0,0.2,44.0316,21.744,26.0928
2015-03-02,3/6/2015,Standard Class,Consumer,United States,Seattle,Washington,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3.0,0.0,165.3813,262.51,0.0
2015-04-05,4/10/2015,Standard Class,Corporate,United States,Bristol,Tennessee,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1.0,0.7,-115.7156,157.794,110.4558
2016-06-12,6/15/2016,First Class,Consumer,United States,Wilmington,Delaware,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3.0,0.0,18.3456,15.68,0.0
2016-06-12,6/15/2016,First Class,Consumer,United States,Wilmington,Delaware,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4.0,0.0,13.878,7.71,0.0
2016-06-12,6/15/2016,First Class,Consumer,United States,Wilmington,Delaware,East,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6.0,0.0,63.4368,37.76,0.0
2016-06-12,6/15/2016,First Class,Consumer,United States,Wilmington,Delaware,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9.0,0.0,51.759,12.78,0.0
2016-06-12,6/15/2016,First Class,Consumer,United States,Wilmington,Delaware,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7.0,0.0,19.7316,9.72,0.0
